TimeElapsed,gpsLock,TimeLocal,Lat,Long,Alt,RoC,GndSpd,GndCrs,Acc,nSats,ExtTemp,BatTemp,IntTemp,Pres,PresAlt,PresRoC,BatVolt,BatCap,BatHeat,StateParachute,StateUpperCut,StateLowerCut
5164.1,T,104915.0,4645.35400,-11727.38770,587.52,0.08,19.98,79.8,3.06,16,20.57,17.47,32.40,94.33,602.38,-0.23,4.04,91.61,0.00,Wait,Wait,Wait
5164.6,T,104915.5,4645.35498,-11727.37988,587.58,0.31,20.09,75.7,3.06,16,20.54,17.46,32.40,94.35,600.70,-1.02,4.04,91.61,0.00,Wait,Wait,Wait
5165.1,T,104916.0,4645.35645,-11727.37305,587.69,0.31,20.18,72.1,3.12,16,20.52,17.46,32.40,94.34,601.50,-0.36,4.05,91.98,0.00,Wait,Wait,Wait
5165.6,T,104916.5,4645.35840,-11727.36523,587.74,0.11,20.65,68.0,3.12,16,20.50,17.47,32.40,94.34,601.67,-0.19,4.05,91.73,0.00,Wait,Wait,Wait
5166.1,T,104917.0,4645.36084,-11727.35742,587.74,-0.03,20.83,64.5,3.12,16,20.48,17.47,32.40,94.35,601.05,-0.45,4.04,91.61,0.00,Wait,Wait,Wait
5166.6,T,104917.5,4645.36377,-11727.35059,587.73,-0.03,21.26,61.8,3.20,16,20.46,17.47,32.40,94.35,600.43,-0.65,4.05,91.73,0.00,Wait,Wait,Wait
5167.1,T,104918.0,4645.36670,-11727.34277,587.63,-0.22,21.25,59.0,3.20,16,20.43,17.47,32.40,94.34,601.85,0.22,4.04,91.37,0.00,Wait,Wait,Wait
5167.6,T,104918.5,4645.36963,-11727.33594,587.56,-0.09,21.50,56.0,3.20,17,20.41,17.47,32.40,94.35,600.52,-0.50,4.04,91.61,0.00,Wait,Wait,Wait
5168.1,T,104919.0,4645.37305,-11727.32910,587.52,0.01,21.61,52.6,3.20,17,20.39,17.47,32.40,94.36,599.64,-0.82,4.05,92.22,0.00,Wait,Wait,Wait
5168.6,T,104919.5,4645.37695,-11727.32227,587.47,0.05,21.83,50.0,3.20,17,20.37,17.47,32.40,94.35,600.61,-0.12,4.05,91.85,0.00,Wait,Wait,Wait
5169.1,T,104920.0,4645.38086,-11727.31641,587.36,0.01,22.10,48.0,3.20,17,20.35,17.47,32.40,94.33,602.38,0.79,4.04,91.49,0.00,Wait,Wait,Wait
5169.6,T,104920.5,4645.38477,-11727.30957,587.34,-0.11,22.26,47.1,3.06,17,20.34,17.47,32.40,94.33,602.47,0.64,4.05,91.73,0.00,Wait,Wait,Wait
5170.1,T,104921.0,4645.38916,-11727.30371,587.24,-0.18,22.55,45.9,3.06,17,20.32,17.47,32.40,94.34,601.41,-0.06,4.04,91.37,0.00,Wait,Wait,Wait
5170.6,T,104921.5,4645.39355,-11727.29688,587.18,-0.26,22.81,44.8,3.06,17,20.30,17.47,32.40,94.33,602.65,0.58,4.05,92.22,0.00,Wait,Wait,Wait
5171.1,T,104922.0,4645.39795,-11727.29102,587.07,-0.29,23.03,43.5,3.06,17,20.28,17.47,32.40,94.32,603.36,0.79,4.05,92.10,0.00,Wait,Wait,Wait
5171.6,T,104922.5,4645.40234,-11727.28418,586.92,-0.27,23.32,42.8,3.06,17,20.27,17.48,32.40,94.33,602.65,0.24,4.04,91.49,0.00,Wait,Wait,Wait
5172.1,T,104923.0,4645.40723,-11727.27832,586.74,-0.31,23.51,43.0,3.06,17,20.25,17.48,32.39,94.33,602.83,0.27,4.05,92.10,0.00,Wait,Wait,Wait
5172.6,T,104923.5,4645.41162,-11727.27246,586.56,-0.22,23.68,42.7,3.06,17,20.24,17.48,32.39,94.31,604.07,0.82,4.04,91.61,0.00,Wait,Wait,Wait
